订单编号,下单国家,店铺名,订单拥有账户,买家昵称,创建时间,买家留言,订单状态,出单汇率,平台佣金,交易费用,服务费,优惠券,预估运费,实际运费,退款,总费用,商品收入,运费收入,平台补贴,其他收入,总收入,订单实际收入（订单总收入-订单总费用）,预估收入（人民币）,购买的商品
221212FW2Y2XHW,越南,dx795.vn,10,huynhtranthaonguyen013,2022-12-12 20:17:36,无留言,货到付款,0.000291,16645.0,5325.0,20176.0,0.0,78600.0,78600.0,0.0,120746.0,252198.0,5000.0,25000.0,0.0,282198.0,161452.0,46.982532000000006,"[['HA2320-Surprised Style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 2]]"
221212FTJ8D96N,越南,dx795.vn,10,ghanpeos,2022-12-12 19:32:10,无留言,货到付款,0.000291,8349.0,2864.0,10120.0,3500.0,54300.0,54300.0,0.0,79133.0,129999.0,15000.0,15000.0,0.0,159999.0,80866.0,23.532006000000003,"[['HA2320-Smile style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
221212FSW2C4PT,智利,dx795.cl,10,mandarina.dani,2022-12-12 19:20:20,无留言,线上支付,0.007488,2129.0,463.0,1278.0,900.0,2700.0,2700.0,0.0,7470.0,22193.0,1860.0,0.0,0.0,24053.0,16583.0,124.173504,"[['HN4292-Blue', 'https://cl.xiapibuy.com/product/830835870/21629809248', 1]]"
221212FPA424B5,越南,dx795.vn,10,thanhhunguyn210,2022-12-12 18:16:00,无留言,货到付款,0.000291,8349.0,3157.0,10120.0,3500.0,41300.0,41300.0,0.0,66426.0,129999.0,17000.0,0.0,0.0,146999.0,80573.0,23.446743,"[['HA2320-Smile style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
221212FNP0AW6B,巴西,dx795.br,10,rodrigohenriquerochadoss,2022-12-12 18:07:19,无留言,线上支付,1.4032,7.6,1.9,5.7,5.0,64.0,64.0,0.0,84.2,99.99,0.0,15.0,0.0,114.99,30.789999999999992,43.20452799999999,"[['HA9585-Blue-45cm/0.48kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
221212FG86JKQX,越南,dx795.vn,10,joo_chanie_231,2022-12-12 16:27:37,无留言,已作废,0.000291,0.0,0.0,0.0,0.0,4500.0,4500.0,53663.0,58163.0,56663.0,0.0,0.0,0.0,56663.0,-1500.0,-0.4365,"[['HA0019-15cm', 'https://vn.xiapibuy.com/product/822397021/18339497182', 1]]"
221212FG5V2JG6,越南,dx795.vn,10,joo_chanie_231,2022-12-12 16:26:16,无留言,已作废,0.000291,0.0,0.0,0.0,0.0,4500.0,4500.0,53163.0,57663.0,56663.0,0.0,0.0,0.0,56663.0,-1000.0,-0.291,"[['HA0019-15cm', 'https://vn.xiapibuy.com/product/822397021/18339497182', 1]]"
221212FFA82K5Y,泰国,dx795.th,10,ratsaranchimpalee,2022-12-12 16:10:49,无留言,货到付款,0.1905,0.0,0.0,0.0,0.0,60.0,60.0,0.0,60.0,351.0,0.0,0.0,0.0,351.0,291.0,55.4355,"[['HJ0864-1 Pcs Smile face', 'https://th.xiapibuy.com/product/822398156/20025705750', 3], ['HJ0864-1 Pcs Smile face', 'https://th.xiapibuy.com/product/822398156/20025705750', 3], ['HJ0864-1 Pcs Smile face', 'https://th.xiapibuy.com/product/822398156/20025705750', 3], ['HJ0864-1 Pcs Smile face', 'https://th.xiapibuy.com/product/822398156/20025705750', 11]]"
221212FDXRQBAW,泰国,dx795.th,10,ntadingsaeah,2022-12-12 15:46:30,无留言,货到付款,0.1905,3.0,2.0,2.0,0.0,84.0,84.0,0.0,91.0,39.0,49.0,30.0,0.0,118.0,27.0,5.1435,"[['HJ3174-Doraemon', 'https://th.xiapibuy.com/product/822398156/12695157515', 3], ['HJ3174-Doraemon', 'https://th.xiapibuy.com/product/822398156/12695157515', 2]]"
221212F9T8PHXA,越南,pet795.vn,10,tuntc_2305,2022-12-12 14:32:24,无留言,货到付款,0.000291,7190.0,2441.0,8716.0,0.0,25100.0,25100.0,0.0,43447.0,108946.0,2000.0,15000.0,0.0,125946.0,82499.0,24.007209000000003,"[['GC0052-Blue heart-S(20-30CM)', 'https://vn.xiapibuy.com/product/841366633/15493945865', 1], ['GA6021-Dragonfly', 'https://vn.xiapibuy.com/product/841366633/20141340294', 1], ['GA0052-Pink-M', 'https://vn.xiapibuy.com/product/841366633/20351845798', 1], ['GD3787-Gold-25CM', 'https://vn.xiapibuy.com/product/841366633/15695715017', 1]]"
221212F88SGRPS,墨西哥,pet795.mx,10,karlaplacencia0,2022-12-12 14:07:42,无留言,线上支付,0.365,16.43,3.9,0.0,4.0,155.0,155.0,0.0,179.32999999999998,168.27,40.0,0.0,0.0,208.27,28.940000000000023,10.56310000000001,"[['GA0073-Black-XL', 'https://mx.xiapibuy.com/product/841369094/20634363526', 1]]"
221212F6WQGDE2,越南,zxc795.vn,10,anhthinhvn,2022-12-12 13:40:58,无留言,货到付款,0.000291,2719.0,950.0,2472.0,0.0,17000.0,17000.0,0.0,23141.0,41196.0,2000.0,15000.0,0.0,58196.0,35055.0,10.201005,"[['AG9555-Gold 40cm', 'https://vn.xiapibuy.com/product/848684587/20039547086', 1]]"
