产品Sku,中文标题,类别,商品主图,开发员,规格Sku,规格图片,规格价格
HA9938,光年正传电影周边玩偶可爱机械小猫CAT毛绒玩具,玩具>毛绒玩具,https://cbu01.alicdn.com/img/ibank/O1CN01aHf2fu1zcgGccGwfG_!!2214090296735-0-cib.jpg,0011,HA9938-25cm,https://cbu01.alicdn.com/img/ibank/O1CN01aHf2fu1zcgGccGwfG_!!2214090296735-0-cib.jpg,20.32
HG1134,儿童益智玩具紧急救护车警车消防车可以开门惯性压铸模型玩具车模特男孩,玩具>玩具车,https://s-cf-tw.shopeesz.com/file/4da8597b8dec190f0289072cafc1bd16,0005,HG1134-Ambulance,https://s-cf-tw.shopeesz.com/file/e0ff14a95c67cbecb9420e43d0000479,4.79
,,,,,HG1134-Blackpolicecar,https://s-cf-tw.shopeesz.com/file/96f6fce7b6e2acfd22586867a555fae9,4.79
,,,,,HG1134-Firetruck,https://s-cf-tw.shopeesz.com/file/db3f6d9686c29ddf67bb879d0ba45418,4.79
,,,,,HG1134-Truck,https://s-cf-tw.shopeesz.com/file/7675e242865c89665d82a633755b1930,4.79
,,,,,HG1134-Whitepolicecar,https://s-cf-tw.shopeesz.com/file/ae99652775bfd87f539c94c20de79f5e,4.79
HI0354,迷你爪机胶囊捕捉器玩具带微型恐龙图蛋手眼协调儿童幼儿游戏活动,玩具>益智玩具,https://ae01.alicdn.com/kf/Sb441679c062440c79385ecf5de7722b0G/Mini-Claw-Machine-Capsule-Catcher-Toy-with-Micro-Dinosaur-Figure-Egg-Hand-eye-Coordination-Game-Activity.jpg,admin,HI0354-Red,https://ae01.alicdn.com/kf/S6d1a6a696e2548ca921cf8331f3e8064O/Mini-Claw-Machine-Capsule-Catcher-Toy-with-Micro-Dinosaur-Figure-Egg-Hand-eye-Coordination-Game-Activity.jpg,4.18
,,,,,HI0354-Blue,https://ae01.alicdn.com/kf/S33ccffb5168f41e7b56c41cac2b83488g/Mini-Claw-Machine-Capsule-Catcher-Toy-with-Micro-Dinosaur-Figure-Egg-Hand-eye-Coordination-Game-Activity.jpg,4.18
,,,,,HI0354-Pink,https://ae01.alicdn.com/kf/S4e4b2226f6294af2904e26b3caad03479/Mini-Claw-Machine-Capsule-Catcher-Toy-with-Micro-Dinosaur-Figure-Egg-Hand-eye-Coordination-Game-Activity.jpg,4.18
,,,,,HI0354-Green,https://ae01.alicdn.com/kf/S0387542d4cfb4bab8d160a1a0bd1f9c0z/Mini-Claw-Machine-Capsule-Catcher-Toy-with-Micro-Dinosaur-Figure-Egg-Hand-eye-Coordination-Game-Activity.jpg,4.18
